% Model:              NS-xy.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jun 29 2026, 12:19
% Dimension:          2
% Nodes:              3393
% Expressions:        3
% Description:        Velocity field, y-component, Velocity field, x-component, Pressure
% Length unit:        m
% x                       y                        v (m/s)                  u (m/s)                  p (Pa)
0                         0                        0                        0                        10.000000000000002
0                         0.021665853331714034     -7.738122933770837E-19   0.03591416838594365      10
0                         0.04766487732977087      1.6799767964339735E-18   0.07849482032842557      10.000000000000007
0                         0.10227766575521335      1.4095630539129171E-19   0.1661041425452161       10.000000000000007
0                         0.1839618350653616       -2.4490058532771176E-19  0.2925022431253466       10.00000000000001
0                         0.26564600437550984      2.0904770176051065E-19   0.4133400907755697       10.000000000000007
0                         0.4367522339964657       -7.949970283064026E-19   0.6484401758687339       10.00000000000002
0                         0.6552038674847727       -3.627561059376679E-19   0.9131347341550372       10.000000000000018
0                         0.8878820760666779       -9.552117442358251E-19   1.1513307180276          10.00000000000001
0                         1.0928690891276456       5.58545943223873E-19     1.3237972960582896       10.000000000000012
0                         1.2742952713021163       -1.478133923910018E-18   1.4472302694773054       10.000000000000007
0                         1.455721453476587        1.0612015978215476E-18   1.5432336932476511       10.00000000000001
0                         1.6371476356510577       7.552939550368381E-19    1.611807567369327        10.000000000000009
0                         1.8185738178255282       5.045673491291611E-19    1.6529518918423325       10.000000000000012
0                         1.9999999999999987       -1.4232544504684975E-18  1.6666666666666676       10.000000000000014
0                         2.1814261821744694       -3.3405156848376623E-19  1.652951891842333        10.000000000000005
0                         2.36285236434894         -9.747879379892317E-19   1.611807567369328        10.00000000000002
0                         2.5442785465234112       3.2776877336130923E-18   1.5432336932476527       10.000000000000021
0                         2.7257047286978815       9.620719683036848E-19    1.4472302694773076       10.000000000000009
0                         2.907130910872353        1.142908937783779E-18    1.3237972960582907       10.000000000000007
0                         3.1124990078426396       2.8278931759652194E-19   1.1509774823121437       10.00000000000001
0                         3.3460681701405393       1.0817845403755566E-18   0.9117085338893758       10.000000000000009
0                         3.565046358511373        -5.638343346882187E-19   0.6460957898792881       10.00000000000001
0                         3.7242624989150466       -2.527504206716583E-19   0.4278828478480166       10.000000000000009
0                         3.831559726519611        7.42534242998264E-19     0.2689120700797532       10.00000000000001
0                         3.9032599234911767       -1.164488171070312E-18   0.15733402651348335      10.000000000000012
0                         3.951068363653605        -4.398971124683254E-18   0.08055510014585185      10.000000000000005
0                         3.977758347115275        -6.273793185873438E-18   0.0368633001732732       10.000000000000005
0                         4                        0                        0                        9.999999999999996
0.07235808026391301       0.08215741133672613      -1.6936915427177768E-17  0.1341165854622303       9.939701599780086
0.09306198775100573       3.9224839374547598       -1.1140859435113087E-16  0.1266897959285179       9.922448343540841
0.10991635718174234       0.13312481962868652      3.756322055502462E-17    0.21449044204732348      9.908403035681895
0.1120720584863467        0.04766487732977087      5.0151376272769845E-17   0.07849482032842559      9.906606617928052
0.11210197105371195       3.951068363653605        -1.6079880875906807E-16  0.08055510014585178      9.906581690788583
0.11214953271028039       0                        0                        0                        9.906542056074766
0.11214953271028039       0.021665853331714034     5.407205878403902E-18    0.03591416838594366      9.906542056074766
0.11214953271028039       3.977758347115275        -6.185939100929529E-17   0.03686330017327328      9.906542056074768
0.11214953271028039       4                        0                        0                        9.90654205607477
0.11876910892606343       0.22589916232133894      1.3624839650377299E-17   0.35523592406161425      9.901025742561627
0.12371581300606256       3.773167013032793        -6.395906106236734E-17   0.35661614328848484      9.896903489161623
0.12654830942710965       3.8621653367578976       -9.59861945652009E-17    0.22180844107389405      9.894543075477417
0.12818892868641438       0.37321997955738734      3.3686735785472835E-18   0.5639944854536395       9.893175892761333
0.13252530127711218       3.632606901626304        4.092840391991152E-17    0.5560811269842337       9.889562248935748
0.1368498528594913        3.442578434724468        1.0276651459219684E-16   0.7995697748616272       9.885958455950432
0.13711446612961042       0.5558900432678358       1.1557259005686925E-16   0.7977276803612624       9.885737944891998
0.13962133707002203       0.08040581053715216      -1.7479691598230912E-17  0.1313158949085302       9.883648885774996
0.14305248585347896       0.7945515102602796       2.1235276357792366E-16   1.061205807743429        9.880789595122112
0.1436630096802641        1.000308112736512        6.581482915201314E-17    1.2502567210581537       9.880280825266455
0.14374691037166032       1.1817994228273996       2.478724847097077E-16    1.387728256464344        9.880210908023626
0.1439826398792352        3.2043561457700034       5.759086578826172E-17    1.0623026142275103       9.880014466767316
0.14448217663155502       2.998634163964477        -7.478991700270502E-17   1.2511374194012383       9.87959818614038
0.145155160293108         2.8172186263162495       -4.836627754350572E-18   1.3883973820007436       9.879037366422422
0.1454818568418829        2.635899569904474        -1.1260917134912584E-16  1.4981798904147121       9.878765119298437
0.14559808231231003       2.454501997856251        -1.6282876877849481E-16  1.58059497247695         9.878668264739744
0.14606099223008995       1.5457404360450566       5.896022850506131E-18    1.5806867702314447       9.878282506474934
0.14606727573067185       2.2727092488806897       -5.06272996370614E-17    1.6356790273228887       9.878277270224446
0.14609854179254447       2.0909647544076497       3.3531165464084565E-17   1.6632189222731493       9.878251215172888
0.1461212536508155        1.727601634832875        -8.390700219478457E-17   1.6357496377726168       9.87823228862433
0.14612278919118338       1.3638178364036648       1.2426394829137054E-16   1.4980301061341201       9.878231009007358
0.14612370224726057       1.9092814287664854       -7.514366111088535E-18   1.6632375586805634       9.878230248127293
0.20622374795586723       3.914832395827769        -7.125891826887284E-17   0.13892370662020267      9.828146876703455
0.21611790440445566       0.11920536564743835      -4.142805172815671E-17   0.19275480974608933      9.819901746329633
0.22200550022083354       0.1756390071726495       -1.58415137138937E-17    0.2798779032708352       9.81499541648265
0.22416403792897976       0.04937246334421909      4.218697341545005E-17    0.08127175551675006      9.813196635059192
0.22420821493500695       3.950119162858855        -1.4199962322640495E-16  0.08209802110444965      9.813159820887508
0.22429906542055944       0                        0                        0                        9.813084112149538
0.22429906542055944       0.02244202879282686      -6.705103790706353E-19   0.03719352938123724      9.813084112149534
0.22429906542056077       3.9773268922085703       -4.680158411691078E-17   0.03757431722866621      9.813084112149541
0.22429906542056077       4                        0                        0                        9.81308411214954
0.2278840974897586        3.8755104135669685       -4.79150309531192E-18    0.2010252869174413       9.810096585425208
0.23321788113412806       0.07658833993860795      -1.201732100093808E-17   0.12520316080828345      9.805651765721572
0.23495251978707357       3.814343947412206        5.923167093784695E-18    0.29506501687028935      9.804206233510781
0.2464891429426802        0.29119475738923795      5.667278415280615E-17    0.44999360117749004      9.794592380881108
0.25575566014625545       3.699481094257934        7.823507148705662E-17    0.4632350042749401       9.786870283211462
0.26676085412013223       0.4639376759939359       2.084252824071402E-16    0.6835468903204549       9.777699288233235
0.2841932466493826        0.6986916604132769       2.1389015208132332E-16   0.9610819188841867       9.763172294458856
0.28566089730551114       3.3015600802199736       9.960053527996459E-17    0.9608088989907405       9.761949252245413
0.28681670308944346       3.548734923890205        1.3985671362095827E-16   0.6672583898011678       9.760986080758807
0.2872097687956235        0.9073745627025902       2.842994772783295E-16    1.169237355737769        9.760658526003654
0.2877081600976149        1.0880068952262025       2.5091963702273556E-16   1.3201119070187712       9.760243199918664
0.2887098978106283        3.091219833782728        1.0578377434516876E-16   1.1705163643163325       9.759408418491155
0.2901475023991678        2.909000890888675        -1.984518921423198E-17   1.3223822418181659       9.758210414667369
0.2904408700888079        1.2716570197600805       2.8132077456768856E-16   1.4456318763063478       9.757965941592667
0.29075544492507394       2.7270887627601947       -1.2038920004514246E-16  1.4463924712782719       9.75770379589578
0.2911780186361869        2.5454570387758175       -3.321447768438665E-16   1.5426985911874664       9.757351651136519
0.2916099309562841        2.3637830739276455       -1.8176580952127481E-16  1.6115257813015653       9.756991724203106
0.29190768262626554       1.4540910136787177       1.2057663892458997E-16   1.5424930744390302       9.756743597811452
0.2920288560495312        2.181990391034444        -4.223812268842038E-17   1.6528664573213054       9.756642619958733
0.2921447790402703        2.0002233765954283       -4.437380838064482E-17   1.666666645876208        9.75654601746645
0.29215778618858623       1.6363923276472734       3.2300610424506105E-17   1.6115789419192643       9.756535178176186
0.29221247508560444       1.8184027778922864       -8.456687567702124E-18   1.6529260203844853       9.756489604095337
0.3102914458250723        0.136002471885243        3.189374880273848E-17    0.21896383965919838      9.741423795145783
0.3186796082376882        3.9108089675047513       2.980876298624105E-16    0.14533712070976101      9.734433659801928
0.33632331462609216       0.050771049226164995     2.357791728706951E-17    0.083544373943806        9.71973057114493
0.33634420857492325       3.949118712183471        2.4521076301852217E-16   0.08372343575676938      9.719713159520875
0.33644859813084116       0                        0                        0                        9.719626168224298
0.33644859813084116       0.023077749648256818     -2.0475220619098346E-17  0.03824100669341656      9.7196261682243
0.33644859813084116       3.976872141901578        5.941543110783816E-17    0.038323556072277803     9.719626168224273
0.33644859813084116       4                        0                        0                        9.71962616822429
0.3456300970464985        0.22433826917021443      6.263062258191022E-17    0.3529272573610713       9.711974919127927
0.34620171447586817       3.771523474712407        1.7401880024936116E-16   0.359043574392867        9.711498571270118
0.34743498484487717       0.08926343158029851      1.2146527225517422E-17   0.14545240254320987      9.710470845962611
0.3481383300856419        3.8534624743037753       2.7250679581418447E-16   0.23528202347821964      9.709884724928633
0.39774353800892037       0.35364291923308555      5.628286759558078E-17    0.5372951510869354       9.668547051659244
0.410321909241973         3.6565103048736907       1.1757539269014634E-16   0.5233223374363637       9.658065075631697
0.4201746549074642        3.8095497900508954       1.889000226056499E-16    0.3023039822194835       9.64985445424379
0.4209462550639498        0.5682851766193042       1.5616102584128268E-16   0.8125802768799938       9.649211454113386
0.4310314502787444        3.473358187414916        8.950535848594398E-17    0.7621731881572642       9.640807124767719
0.43207910501863206       0.796775521702615        2.8812974812072724E-16   1.0634378561774949       9.639934079151148
0.4328149135645545        0.9949465243344631       2.429249553116544E-16    1.245778129605261        9.639320905362881
0.43344099952822074       3.204089337195284        -6.666986999121117E-17   1.062570361688593        9.638799167059828
0.4346686006743705        1.1797326128999983       2.7108478516379083E-16   1.386317255691724        9.637776166104702
0.43567830170014066       3.0016138972575654       -1.595895368142741E-17   1.2486540003418805       9.636934748583228
0.4359529044559937        2.818640293643029        -2.5771249883828793E-16  1.3874283623433576       9.636705912953346
0.436300020359786         2.6368220725712224       -3.1868766581918717E-16  1.4976906866192066       9.636416649700193
0.43668556503928246       1.362407648865412        5.867435571782253E-17    1.4972816640727797       9.636095362467275
0.4368890478125944        3.9125194043169222       -9.726661544484226E-19   0.14261230337968553      9.63592579348952
0.43688925122213784       2.455100709401641        -2.8522769041294795E-16  1.5803680601258863       9.635925623981558
0.43749826853579604       2.273261630412858        -2.6196463168864076E-16  1.6355533672267122       9.63541810955351
0.43792921923775996       2.091344513519601        -1.0365828904190823E-16  1.663190074937446        9.635058983968543
0.4380016193957273        1.5451823843661752       7.300203505843136E-17    1.5804753902121522       9.634998650503569
0.4381111504516175        1.7273470302789065       1.0054459886948138E-16   1.6356918158759461       9.634907374623664
0.43814157006001037       1.9094036296084642       -1.2195428119812252E-16  1.6632467906966177       9.63488202495
0.43837002419003845       0.16392983929190766      4.180684870539122E-17    0.2620193187322335       9.634691646508314
0.44330834159951066       3.751474312842113        1.1044154600520081E-16   0.38847405477260344      9.630576382000418
